"","whatTested","estimatedPerformance","strategies","interruption","participatedBefore","issues","seriousness","comments","age","race","sex","gender"
"129","I think you were testing my perception of people's competency based only on appearance and whether gender or race played a part in perception of competency.  Also, the order in which I saw each photo probably played a role and you were testing how my scores changed based on what photo came after another.  I noticed repeating photos throughout the task.","60","I did use strategy to predict competency. Each photo I looked at I noted age and appearance in terms of how ""put together"" the person looked.  The younger the person appeared, the lower the score. But, the more put together the person appeared, I raised the score a bit.","No, I did not interrupt the task.","No","Everything was clear and I had no problem completing the task","100","","55","White","Female","female"
"130","I think some of the faces were the same people but with sometimes slightly rounder faces. So I think you were testing what facial features people associate with competence.","6","I didn't use any strategy. I just rated how competent I felt each person was individually.","No, I did not interrupt the task.","No","Everything was clear and worked well.","95","","30","White","Female","Female"
"131","it seemed like you put some weight on the faces at times. Perhaps you were looking at that along with age/race/etc. to see how it impacts our ratings. ","50","I let myself be prejudiced and make snap judgments based upon whatever struck me as influential. I did find myself looking at clothing quite a bit.","No, I did not interrupt the task.","No","no","100","","51","White","Male","male"
"132","To see if have certain bias when looking people of different races and ethnicities when looking at their different facial expressions.","90","The more friendly or more smiley they were, I considered them to be more competent.","No, I did not interrupt the task.","No","Nothings unclear. No problems completing the task.","90","No","25","South Asian","Male","Male"
"133","perceived biases","50","No particular strategies.","No, I did not interrupt the task.","No","no","90","no","52","Latinx/a/o or Hispanic","Female","female"
"134","Racism.  Sexism.","1","No strategies, because you can't tell a person's competence by looking at their faces.  Competence has nothing to do with what people look like,","No, I did not interrupt the task.","No","Other than the task being completely impossible, no.","47","I usually return tasks like this because they are impossible to complete as specified, but if you return too many, Prolific will throw you off the platform.","60","White","Male","There is no gender"
"135","Perceptions of competence based on age or race.","80","I looked at their eyes and facial expressions. I also looked at their type of clothes if I could see them.","No, I did not interrupt the task.","No","no, but I couldn't always remember what number I gave them previously.","97","","64","White","Female","female"
"136","perceptions of people based on looks alone","45","no i didn't","No, I did not interrupt the task.","No","the instructions were clear","75","","20","East Asian","Female","woman"
"137","perceptions of people based on looks alone","45","no i didn't","No, I did not interrupt the task.","No","the instructions were clear","75","","20","White","Female","woman"
"138","If higher body fat correlates with lower perceived competence.","90","I tried to imagine training them on general computer tasks and how well they would learn.","No, I did not interrupt the task.","No","No","90","No","29","White","Male","Male"
"139","To understand how people assess other people.","60","No, I didn't use any  particular strategies. I just evaluated them as I felt about them.","No, I did not interrupt the task.","No","No issues.","100","Great study.","24","White","Male","Man"
"140","racial and gender bias","60","possibly how bright/awake they looked","No, I did not interrupt the task.","No","no","92","I do not","46","White","Female","female"
"141","If we viewed competency in ways related to race or sex/gender.","50","I tended to rate photos based on looking at eyes or expressions. If someone's expression seemed engaging, I marked them higher. If someone looked dead behind the eyes, I marked them lower. ","Yes, I interrupted the task.","No","No, nothing was unclear. ","95","I thought this was a very interesting task. I know I did a similar one, but I don't think it was measuring competency, so I put ""no"" when asked that question. A ""not sure"" option would be good for that question. ","40","Latinx/a/o or Hispanic","Female","Female"
"142","I think you were testing who people think are competent based on race and biological sex. ","20","I was not sure what I should be doing. The instructions were a little confusing. ","No, I did not interrupt the task.","No","The instructions were not entirely clear. ","70","","57","White","Male","male"
"143","i'm not sure","100","not really","No, I did not interrupt the task.","No","none","100","nice study","33","White","Male","man"
"144","I think you were looking for any inherent biases.","50","No, I didn't use any strategies. I tried to go with my instinct.","No, I did not interrupt the task.","No","No","100","No","43","White","Male","male"
"145","If it is possible to tell competence by faces and expressions.","50","I tried to see via eyes and expressions, but I think it is impossible!","Yes, I interrupted the task.","No","No.","80","No","61","White","Female","female."
"146","I first thought this had to do with race in how we view competence, and while I believe that is partially part of it, after seeing the same faces with some changes I think it has to do with attractiveness as well.","50","I didn't use any strategy. I just went with my gut like the study asked me to.","No, I did not interrupt the task.","No","No to both questions.","100","Everything was smooth.","33","White","Male","man"
"147","how to recognizes faces to test how good I see things","70","I just followed the trend by selecting  faces ","No, I did not interrupt the task.","Yes","no ","100","no please ","49","White","Male","MAN"
"148","like the people who make decisions","82","like people who make decisions Pay attention to people's traits","No, I did not interrupt the task.","Yes","Nothing at all","40","","38","White","Male","Male"
"149","like the people who make decisions","75","like people who make decisions Pay attention to people's traits","No, I did not interrupt the task.","Yes","Nothing at all","25","","37","White","Male","Male"
"150","I feel you were testing to see if people could look at someone's face and see competence.","50","I looked at their faces and I went with my gut on what I feel a competent face looks like.","No, I did not interrupt the task.","No","no","90","","50","White","Female","female"
"151","
It seems like the test involves assessing participants' typing speed and accuracy, particularly in transcribing sentences under time constraints.","85","There were no issues during the study.","Yes, I interrupted the task.","Yes","There were no issues during the study, and I was able to complete it smoothly, achieving the desired results.","70","There were no issues during the study, and I was able to complete it smoothly, achieving the desired results.","63","White","Male","Male"
"152","Perhaps to understand how people make first impressions of faces.","90","I just used my instinct, and didn't have any particular strategy that I could describe.","No, I did not interrupt the task.","No","Everything went fine.","100","n/a","29","White","Male","Male"
"153","I think you were using different face strategies and how each face familiarize ","31","one of the particular strategies I used is I shorted these faces by how knowledgeable these particular faces are ","No, I did not interrupt the task.","No","nothing at all","95","","22","Black/African American","Male","male"
"154","You were testing perceptions of competence.","95","I simply tried to assess according to my instincts","No, I did not interrupt the task.","No","no","100","no","36","White","Male","male"
"155","To check if there are competent ","50","No, I did not use any strategy ","No, I did not interrupt the task.","No","No, I didn't have any ","100","Not applicable ","32","Black/African American","Male","male"
"156","If ""competence"" has anything to do with race, age, or gender? There was a whole variety of pictures to rate so I can only assume it has something to do with that. ","90","I went with my gut feeling for most of them. That probably tied into age, how the picture was taken, and the look on their faces/in their eyes. ","No, I did not interrupt the task.","No","No, it all went well!","95","Nope!","27","White","Prefer not to say","Male"
"157","I was testing the competence of each person based off of their picture. ","85","I just picked based off of the ones who I felt were giving genuine smiles. ","No, I did not interrupt the task.","No","No this study was very straight forward. ","100","I enjoyed the study!","28","Black/African American","Male","Male"
"158","I think what was being tested here was the impact of first impressions, whether it be based on race or dress.","70","I used age, looks, grooming, and experience with similar looking people throughout my life. ","No, I did not interrupt the task.","No","Everything was pretty clear!","95","Nope!","26","Latinx/a/o or Hispanic","Male","Male"
"159","I was suppose to see how Competent each person looked to me. But I think it may have been more than that? I think you may be trying to see if we show a bias? Maybe if we judge Face Symmetry?","60","Well I think I particularly was going by If they wore glasses and if they were smiling, and how clean cut they were. I think the more positive look and out-going, and or studious type can be perceived as more competent. ","No, I did not interrupt the task.","No","I have did another study where I looked at faces. but it was very different. We had to look at Happy and Sad Faces.","100","Actually, It did not feel like a very long study compared to others. I made say it was about middle of road. ","58","White","Female","Female"
"160","How competent we thought people were based on their beauty, race, age, and their weight,","30","If the person looked competent based on age. That was a strategy I used. Younger less competent, and older were more.  But that was it as everything else I just used my gut feeling.","No, I did not interrupt the task.","No","Everything was clear.","70","","24","Latinx/a/o or Hispanic","Female","Female"
"161","How competent they look by observing their faces.","80","I did not use any particular strategies but just observed the faces and chose based on the impressions I got from the faces.","No, I did not interrupt the task.","No","No","100","No comments","49","Black/African American","Male","Male"
"162","Beyond literal face value judgements of competency, I haven't the faintest idea.","50","I think the overwhelming majority of people are competent. So I erred on the heavy end of everybody at least being 75, or more, percent competent.","No, I did not interrupt the task.","No","All was clear and worked as it should.","100","","39","White","Male","male"
